x, y
1.1839138459010409e-7, 0.000056700820576871605
2.6711668593084444e-7, 0.00011907168542046008
4.7606019037531007e-7, 0.00020594369437358873
0.000001175881733728116, 0.0004386190722891259
0.000002834421391291898, 0.0009517102234981366
0.000007139991278637012, 0.002043176276754384
0.000014154871869792014, 0.0038502553251367495
0.00003293954654472222, 0.008698152668531836
0.00007393670208995585, 0.017794292954273067
0.00018333747952659863, 0.03913569228096236
0.0003615587059371391, 0.06751401865902737
0.0006399425399507727, 0.10380228953763992
0.001080906340460027, 0.1299495923349329
0.003366497329329171, 0.13928988606641846
0.012679316167157319, 0.13963801672514964
0.02551326616961579, 0.2590616142269255
0.042527433350108904, 0.18497840292449066
0.10063412625431974, 0.3971523154061994
0.11771403045452278, 0.1701870259783043
0.1451734050656257, 0.07247164045523734
0.21474620480681286, 0.044345279848833095
0.2857670579781971, 0.016571686972812135
0.3699527860947927, 0.005611991340395542
0.4145754506887674, 0.0503901615256227
0.4642190731161808, 0.30261910009762566
0.5215288903853473, 0.039214554514477244
0.5635594421219833, 0.003915285320346746
0.6583114201041145, 0.0008753269012558726
0.8386808746687578, 0.0002050996873363038
1.0978567520879272, 0.00003166991926175809
1.2529771516016535, 0.0000051929840132789834
1.7942174188453284, 5.772300511719031e-7
2.203309761566916, 7.528916872315781e-8
2.658985500268632, 1.0709751974600776e-8
3.000641932961561, 5.17559014283081e-9
4.002344636375363, 1.700515632291221e-8
4.888684868248413, 3.5512955221177214e-8
6.501043376021312, 8.43754123961639e-8
6.525746992121986, 1.5224759644828048e-7
6.58055387114378, 0.000387746168765307
7.160852591232597, 0.021135519143212125
8.921918477306633, 0.16611172830547724
12.132864291352773, 0.25004374852476746
14.522988842805535, 0.34875026151509053
17.46020128757739, 0.5051022768138222
22.10607052886915, 0.6749529581774153
30.771811254215947, 0.5135092844675363
42.341729563996424, 0.3109935419741174
62.682297822909824, 0.13011712270070336
82.51700963317491, 0.05539061813035192
113.33304268380441, 0.019585322495568304
155.11334133354305, 0.0073349009699656565
216.84479663441616, 0.0030339715862470573
289.0090437536269, 0.0010396029150776958
385.5637641493128, 0.00042328268605921967
544.3294188099661, 0.00015309174029516445
630.6138191318288, 0.0012652046949692482
775.3018038915093, 0.0006250621544769056
1138.9654172170585, 0.00017689843730835057
1661.0497869281367, 0.000047721850756005086
2472.9116415329427, 0.000012580820524958008
3718.28373187412, 0.0000029817382419088552
5918.122848495415, 6.532264814685042e-7
9727.589541903828, 9.945483116442843e-8
14916.627714259213, 1.9597417059291387e-8
21508.060954241417, 4.9649518919562175e-9
29197.530211340432, 1.646807740348472e-9
33908.1167819315, 8.533121071547083e-10
