x, y
0.013348065981553468, 0.1168519231686048
0.024918224972048743, 0.21023520107068946
0.042108419175736024, 0.14325558475291156
0.09270909789746344, 0.3477056159673875
0.16979176178901, 0.03068074589600823
0.3581120593658501, 0.00295544234293028
0.782455486930997, 0.00007016392078151531
1.2238563461084684, 0.0000025354049669156624
1.673740946885612, 1.1032602751320033e-7
1.9853578087523418, 1.186053053562406e-8
2.8706748445044523, 5.594470524600271e-10
6.723605848718969, 2.4963685824791894e-8
8.419860483749263, 0.12821618378753
13.09012134177126, 0.23092448180903227
14.957129760369487, 0.39771462034424687
21.29053186752676, 0.6024678296992287
34.46211123225979, 0.3511528050220946
49.94424474280786, 0.15314552223563258
77.21002968705233, 0.04484486642474966
101.64075900220885, 0.013151845849238153
138.6118763394761, 0.005114018525912352
212.05608276693889, 0.0010922205696332855
400.35984061760047, 0.00047794111129805596
818.0076936712369, 0.00019587835113181
1296.5564297497958, 0.00003996621095848094
1909.5167766719087, 0.000008916799929428202
2639.98081886307, 0.0000027546719203444352
3931.7732371951897, 5.550969965598428e-7
5632.4180003460715, 1.1667298816327867e-7
8694.564433343223, 1.982185989617219e-8
13257.02177764285, 3.7075015554267796e-9
20141.935313911235, 7.01807234418244e-10
30398.49752161839, 1.1735103046454383e-10
