1.70000000e+00 2.29000000e-01
1.75394171e+00 2.27669438e-01
1.80959501e+00 2.26296656e-01
1.86701422e+00 2.24880316e-01
1.92625536e+00 2.23419034e-01
1.98737625e+00 2.21911386e-01
2.05043653e+00 2.20355899e-01
2.11549773e+00 2.18751056e-01
2.18262336e+00 2.17095290e-01
2.25187891e+00 2.15386987e-01
2.32333197e+00 2.13624478e-01
2.39705226e+00 2.11806044e-01
2.47311173e+00 2.09929911e-01
2.55158460e+00 2.07994246e-01
2.63254745e+00 2.05997163e-01
2.71607928e+00 2.03936711e-01
2.80226161e+00 2.01810880e-01
2.89117854e+00 1.99617596e-01
2.98291684e+00 1.97354718e-01
3.07756604e+00 1.95020038e-01
3.17521850e+00 1.92611277e-01
3.27596950e+00 1.95836460e-01
3.37991739e+00 2.01085828e-01
3.48716358e+00 2.06501761e-01
3.59781273e+00 2.12089543e-01
3.71197283e+00 2.17854628e-01
3.82975528e+00 2.23802642e-01
3.95127502e+00 2.29939388e-01
4.07665062e+00 2.36270857e-01
4.20600445e+00 2.42803225e-01
4.33946273e+00 2.49542868e-01
4.47715570e+00 2.56496363e-01
4.61921772e+00 2.63670495e-01
4.76578742e+00 2.71072265e-01
4.91700785e+00 2.78708896e-01
5.07302656e+00 2.86587841e-01
5.23399582e+00 2.93849895e-01
5.40007269e+00 2.98001817e-01
5.57141925e+00 3.02285481e-01
5.74820271e+00 3.06705068e-01
5.93059558e+00 3.11264890e-01
6.11877586e+00 3.15969397e-01
6.31292717e+00 3.20823179e-01
6.51323899e+00 3.25830975e-01
6.71990678e+00 3.30997670e-01
6.93313223e+00 3.36328306e-01
7.15312342e+00 3.41828085e-01
7.38009501e+00 3.33184822e-01
7.61426851e+00 3.20422366e-01
7.85587243e+00 3.07254953e-01
8.10514254e+00 2.93669731e-01
8.36232210e+00 2.79653445e-01
8.62766207e+00 2.65192417e-01
8.90142140e+00 2.50272534e-01
9.18386722e+00 2.34879237e-01
9.47527516e+00 2.34137638e-01
9.77592960e+00 2.34287965e-01
1.00861239e+01 2.34443062e-01
1.04061609e+01 2.34603080e-01
1.07363527e+01 2.34768176e-01
1.10770216e+01 2.34938511e-01
1.14285002e+01 2.47339009e-01
1.17911312e+01 2.66921087e-01
1.21652688e+01 2.87124514e-01
1.25512778e+01 3.07969003e-01
1.29495351e+01 3.29474896e-01
1.33604293e+01 3.46288800e-01
1.37843613e+01 3.54979406e-01
1.42217448e+01 3.63945769e-01
1.46730067e+01 3.73196638e-01
1.51385874e+01 3.82741041e-01
1.56189411e+01 3.65357123e-01
1.61145366e+01 3.43303122e-01
1.66258576e+01 3.20549338e-01
1.71534030e+01 2.97073568e-01
1.76976876e+01 2.78291916e-01
1.82592426e+01 2.59439712e-01
1.88386160e+01 2.39989319e-01
1.94363732e+01 2.19921757e-01
2.00530974e+01 2.00256636e-01
2.06893906e+01 1.91348532e-01
2.13458736e+01 1.82157770e-01
2.20231871e+01 1.72675381e-01
2.27219920e+01 1.63780080e-01
2.34429703e+01 1.56570297e-01
2.41868255e+01 1.49131745e-01
2.49542836e+01 1.41457164e-01
2.57460935e+01 1.38910938e-01
2.65630278e+01 1.36623522e-01
2.74058837e+01 1.34263526e-01
2.82754839e+01 1.33379613e-01
2.91726768e+01 1.32661859e-01
3.00983380e+01 1.32196676e-01
3.10533708e+01 1.34106742e-01
3.20387073e+01 1.36077415e-01
3.30553088e+01 1.37222124e-01
3.41041676e+01 1.37641667e-01
3.51863071e+01 1.38000000e-01
3.63027833e+01 1.38000000e-01
3.74546858e+01 1.38000000e-01
3.86431386e+01 1.35713723e-01
3.98693015e+01 1.33261397e-01
4.11343711e+01 1.31638755e-01
4.24395819e+01 1.30072502e-01
4.37862076e+01 1.27427585e-01
4.51755622e+01 1.24578651e-01
4.66090017e+01 1.21138396e-01
4.80879248e+01 1.16413131e-01
4.96137747e+01 1.09699391e-01
5.11880405e+01 1.07524784e-01
5.28122584e+01 1.06375483e-01
5.44880135e+01 1.03023973e-01
5.62169409e+01 9.81057891e-02
5.80007279e+01 9.25979618e-02
5.98411152e+01 8.74448773e-02
6.17398988e+01 8.28242428e-02
6.36989316e+01 7.76429915e-02
6.57201253e+01 7.14075489e-02
6.78054523e+01 6.48778191e-02
6.99569477e+01 6.40172209e-02
7.21767108e+01 6.22586313e-02
7.44669080e+01 5.88529471e-02
7.68297741e+01 5.50723614e-02
7.92676150e+01 5.18788620e-02
8.17828095e+01 4.92171905e-02
8.43778122e+01 4.66221878e-02
8.70551554e+01 4.35338135e-02
8.98174519e+01 4.02190577e-02
9.26673972e+01 3.91997809e-02
9.56077724e+01 3.83176683e-02
9.86414469e+01 3.74075659e-02
1.01771381e+02 3.73335593e-02
1.05000630e+02 3.95841639e-02
1.08332344e+02 4.39720743e-02
1.11769774e+02 5.05130646e-02
1.15316276e+02 5.92200040e-02
1.18975309e+02 7.01026714e-02
1.22750446e+02 8.31675533e-02
1.26645368e+02 9.84176236e-02
1.30663879e+02 1.15852104e-01
1.34809898e+02 1.35466202e-01
1.39087473e+02 1.57250829e-01
1.43500776e+02 1.81192290e-01
1.48054116e+02 2.07271950e-01
1.52751935e+02 2.35465869e-01
1.57598818e+02 2.65744409e-01
1.62599494e+02 2.98071808e-01
1.67758844e+02 3.32405717e-01
1.73081902e+02 3.68696698e-01
1.78573863e+02 4.06887690e-01
1.84240086e+02 4.46913420e-01
1.90086101e+02 4.88699776e-01
1.96117613e+02 5.32163133e-01
2.00000000e+02 5.60253131e-01
