1.700	0.20300000	0.12000000	0.48500000	0.01700000	0.06800000	0.00200000	0.00500000	0.00000000
3.200	0.14600000	0.08000000	0.29500000	0.01700000	0.04800000	0.00400000	0.01100000	0.00600000
5.200	0.15700000	0.08500000	0.31100000	0.02600000	0.05800000	0.00500000	0.01500000	0.00500000
7.200	0.19900000	0.12500000	0.41200000	0.04300000	0.13000000	0.00500000	0.02200000	0.01400000
9.200	0.12000000	0.12600000	0.31500000	0.03700000	0.12000000	0.00500000	0.01700000	0.02100000
11.200	0.08300000	0.09100000	0.20400000	0.02500000	0.06900000	0.00300000	0.00400000	0.00900000
13.200	0.11700000	0.10600000	0.24200000	0.03500000	0.06500000	0.00200000	0.00400000	0.00600000
15.200	0.13700000	0.12100000	0.26500000	0.03900000	0.06500000	0.00000000	0.00200000	0.00400000
17.200	0.14100000	0.11700000	0.24600000	0.03700000	0.05400000	0.00000000	0.00100000	0.00300000
20.000	0.12000000	0.10500000	0.20700000	0.02700000	0.03600000	0.00000000	0.00100000	0.00200000
22.500	0.12500000	0.10800000	0.19900000	0.02600000	0.02900000	0.00000000	0.00000000	0.00100000
25.000	0.12400000	0.11100000	0.19100000	0.02400000	0.02200000	0.00000000	0.00000000	0.00000000
27.500	0.12500000	0.11500000	0.18000000	0.02400000	0.01800000	0.00000000	0.00000000	0.00000000
30.000	0.12700000	0.11800000	0.17100000	0.02400000	0.01600000	0.00000000	0.00000000	0.00000000
32.500	0.13100000	0.12400000	0.17500000	0.02500000	0.01600000	0.00000000	0.00000000	0.00000000
35.000	0.13000000	0.12600000	0.17500000	0.02500000	0.01500000	0.00000000	0.00000000	0.00000000
37.500	0.13000000	0.12700000	0.17000000	0.02600000	0.01500000	0.00000000	0.00000000	0.00000000
40.000	0.12700000	0.12300000	0.16000000	0.02600000	0.01500000	0.00000000	0.00000000	0.00000000
42.500	0.12400000	0.12100000	0.15400000	0.02600000	0.01400000	0.00000000	0.00000000	0.00000000
45.000	0.11900000	0.12000000	0.14500000	0.02500000	0.01500000	0.00000000	0.00000000	0.00000000
47.500	0.11500000	0.11700000	0.13500000	0.02500000	0.01600000	0.00000000	0.00000000	0.00000000
50.000	0.10800000	0.10900000	0.12400000	0.02300000	0.01600000	0.00000000	0.00000000	0.00000000
52.500	0.11100000	0.11200000	0.12600000	0.02400000	0.01700000	0.00000000	0.00000000	0.00000000
55.000	0.11000000	0.11200000	0.12400000	0.02400000	0.01700000	0.00000000	0.00000000	0.00000000
57.500	0.10800000	0.11000000	0.12000000	0.02300000	0.01700000	0.00000000	0.00000000	0.00000000
60.000	0.10900000	0.11200000	0.11900000	0.02400000	0.01700000	0.00000000	0.00000000	0.00000000
62.500	0.11200000	0.11800000	0.12100000	0.02400000	0.01800000	0.00000000	0.00000000	0.00000000
65.000	0.11300000	0.12100000	0.12000000	0.02400000	0.01800000	0.00000000	0.00000000	0.00000000
67.500	0.11000000	0.12000000	0.11600000	0.02400000	0.01700000	0.00000000	0.00000000	0.00000000
70.000	0.12100000	0.13200000	0.12800000	0.02600000	0.01900000	0.00000000	0.00000000	0.00000000
72.500	0.13000000	0.14200000	0.13800000	0.02700000	0.02000000	0.00000000	0.00000000	0.00000000
75.000	0.13000000	0.14300000	0.13900000	0.02800000	0.02100000	0.00000000	0.00000000	0.00000000
77.500	0.13000000	0.14400000	0.14100000	0.02800000	0.02100000	0.00000000	0.00000000	0.00000000
80.000	0.13600000	0.15200000	0.14800000	0.02900000	0.02100000	0.00000000	0.00000000	0.00000000
85.000	0.13200000	0.15000000	0.14500000	0.02800000	0.02100000	0.00000000	0.00000000	0.00000000
90.000	0.11900000	0.13600000	0.13200000	0.02700000	0.01900000	0.00000000	0.00000000	0.00000000
100.000	0.11700000	0.13400000	0.12900000	0.02600000	0.01800000	0.00000000	0.00000000	0.00000000
