range_id,e_min_mev,e_max_mev,n_cells,used_energies,missing_energies,dose_depth_cm,dose_at_depth_mgy_per_yr,mean_primary_penetration_cm,mean_secondary_ke_mev,mean_secondary_penetration_cm,deposited_fraction,backscatter_fraction,lateral_escape_fraction,forward_escape_fraction,escaped_electron_fraction,escaped_photon_fraction,nondeposited_escaped_electron_fraction,nondeposited_escaped_photon_fraction,nondeposited_unresolved_fraction,backscatter_electron_fraction,backscatter_photon_fraction,lateral_escape_electron_fraction,lateral_escape_photon_fraction,backscatter_flux_mev_cm2_s,lateral_escape_flux_mev_cm2_s,forward_escape_flux_mev_cm2_s,escaped_electron_flux_mev_cm2_s,escaped_photon_flux_mev_cm2_s,backscatter_electron_flux_mev_cm2_s,backscatter_photon_flux_mev_cm2_s,lateral_escape_electron_flux_mev_cm2_s,lateral_escape_photon_flux_mev_cm2_s,jde_flux_cm2_s,jde_energy_flux_model_mev_cm2_s,deflected_fraction,deflected_flux_mev_cm2_s
18,0.00467036693,0.0173029064,4,48,0,0.00995,0,0.000369297207,1.08688779e-05,0.000371041387,0.858622356,0.141377566,0,0,0.141377566,0,0.999999452,0,5.479783e-07,0.141377566,0,0,0,166092.845,0,0,166092.845,0,166092.845,0,0,0,89506976.6,1174817.44,0.141377644,166092.936
19,0.00470756892,0.0159257924,4,41,0,0.00995,0,0.000342339351,1.07542366e-05,0.00034418777,0.858571779,0.141428128,0,0,0.141428128,0,0.999999343,0,6.5690824e-07,0.141428128,0,0,0,138550.954,0,0,138550.954,0,138550.954,0,0,0,77749439.3,979656.251,0.141428221,138551.045
20,0.00473546711,0.0187562791,4,55,0,0.00995,0,0.000398119997,1.097384e-05,0.000399720905,0.858883601,0.141116333,0,0,0.141116333,0,0.99999953,0,4.70407661e-07,0.141116333,0,0,0,193481.719,0,0,193481.719,0,193481.719,0,0,0,100402105,1371079.28,0.141116399,193481.81
21,0.00475581026,0.0105198853,2,5,0,0.00995,0,0.000237741522,1.01295163e-05,0.000240121747,0.860522335,0.139477665,0,0,0.139477665,0,1,0,2.88099337e-14,0.139477665,0,0,0,13637.7166,0,0,13637.7166,0,13637.7166,0,0,0,9530308.42,97777.1202,0.139477665,13637.7166
22,0.00484127684,0.0157071738,4,40,0,0.00995,0,0.000337942101,1.07335357e-05,0.00033980529,0.858596591,0.141403313,0,0,0.141403313,0,0.999999321,0,6.791232e-07,0.141403313,0,0,0,134018.778,0,0,134018.778,0,134018.778,0,0,0,75734475.2,947776.795,0.141403409,134018.869
23,0.00495452308,0.0155630979,4,39,0,0.00995,0,0.000335002639,1.07203882e-05,0.000336882915,0.858539578,0.141460324,0,0,0.141460324,0,0.999999306,0,6.94354148e-07,0.141460324,0,0,0,131079.018,0,0,131079.018,0,131079.018,0,0,0,74380151.4,926613.343,0.141460422,131079.109
24,0.00550593023,0.018541039,4,54,0,0.00995,0,0.000393699172,1.09590822e-05,0.000395323651,0.858777227,0.141222706,0,0,0.141222706,0,0.99999952,0,4.80026079e-07,0.141222706,0,0,0,189604.869,0,0,189604.869,0,189604.869,0,0,0,98874605.1,1342594.55,0.141222773,189604.96
25,0.00553706919,0.0251602826,4,81,0,0.00995,0,0.000524433739,1.14923248e-05,0.000525725822,0.859207607,0.140792349,0,0,0.140792349,0,0.999999682,0,3.18193521e-07,0.140792349,0,0,0,301720.968,0,0,301720.968,0,301720.968,0,0,0,135961970,2143021.05,0.140792393,301721.064
26,0.00565865566,0.0201442952,4,61,0,0.00995,0,0.000425509573,1.1064859e-05,0.000427007987,0.858923253,0.141076689,0,0,0.141076689,0,0.999999584,0,4.16144609e-07,0.141076689,0,0,0,218710.724,0,0,218710.724,0,218710.724,0,0,0,109623369,1550296.54,0.141076747,218710.815
27,0.00572302741,0.0254802158,4,82,0,0.00995,0,0.000530635472,1.15171924e-05,0.000531913975,0.859145106,0.140854849,0,0,0.140854849,0,0.999999687,0,3.12896663e-07,0.140854849,0,0,0,306828.64,0,0,306828.64,0,306828.64,0,0,0,137356152,2178332.07,0.140854894,306828.736
28,0.00575252869,0.0137426041,2,28,0,0.00995,0,0.000299315915,1.05393133e-05,0.000301317168,0.858694269,0.141305597,0,0,0.141305597,0,0.999999051,0,9.49468231e-07,0.141305597,0,0,0,91665.239,0,0,91665.239,0,91665.239,0,0,0,55374631.3,648702.015,0.141305731,91665.326
29,0.0058797137,0.0213877492,4,67,0,0.00995,0,0.000449904286,1.11491544e-05,0.00045136818,0.85851435,0.141485597,0,0,0.141485597,0,0.999999623,0,3.77349437e-07,0.141485597,0,0,0,241196.315,0,0,241196.315,0,241196.315,0,0,0,117065216,1704740.9,0.14148565,241196.406
30,0.00591011855,0.0201442952,4,61,0,0.00995,0,0.000425509573,1.1064859e-05,0.000427007987,0.858923253,0.141076689,0,0,0.141076689,0,0.999999584,0,4.16144609e-07,0.141076689,0,0,0,218710.724,0,0,218710.724,0,218710.724,0,0,0,109623369,1550296.54,0.141076747,218710.815
31,0.00596919131,0.0237786993,4,76,0,0.00995,0,0.000497061781,1.13665872e-05,0.000498409618,0.858787039,0.141212913,0,0,0.141212913,0,0.999999658,0,3.42095949e-07,0.141212913,0,0,0,280639.551,0,0,280639.551,0,280639.551,0,0,0,129596944,1987350.46,0.141212961,280639.647
32,0.00687757041,0.0251304404,4,81,0,0.00995,0,0.000523855331,1.14900179e-05,0.000525148565,0.859215232,0.140784723,0,0,0.140784723,0,0.999999681,0,3.18701314e-07,0.140784723,0,0,0,301240.228,0,0,301240.228,0,301240.228,0,0,0,135831403,2139722.42,0.140784768,301240.324
33,0.00693129409,0.0368385719,4,114,0,0.00995,0,0.000757185274,1.24535318e-05,0.000758061165,0.860477985,0.139521986,0,0,0.139521986,0,0.999999791,0,2.09022998e-07,0.139521986,0,0,0,459306.752,0,0,459306.752,0,459306.752,0,0,0,173746953,3292002.48,0.139522015,459306.848
34,0.00698921888,0.027429577,4,88,0,0.00995,0,0.000569554429,1.16848815e-05,0.00057075107,0.859678969,0.140320991,0,0,0.140320991,0,0.999999713,0,2.86507972e-07,0.140320991,0,0,0,335088.976,0,0,335088.976,0,335088.976,0,0,0,145287811,2388017.54,0.140321031,335089.072
35,0.00714022099,0.018541039,2,54,0,0.00995,0,0.000393699172,1.09590822e-05,0.000395323651,0.858777227,0.141222706,0,0,0.141222706,0,0.99999952,0,4.80026079e-07,0.141222706,0,0,0,189604.869,0,0,189604.869,0,189604.869,0,0,0,98874605.1,1342594.55,0.141222773,189604.96
36,0.00736823635,0.0276835073,4,89,0,0.00995,0,0.000574647202,1.1705185e-05,0.000575833219,0.859739635,0.140260326,0,0,0.140260326,0,0.999999717,0,2.8346827e-07,0.140260326,0,0,0,338682.219,0,0,338682.219,0,338682.219,0,0,0,146254869,2414668.78,0.140260365,338682.315
37,0.00765542886,0.030216219,4,97,0,0.00995,0,0.000625175043,1.19081206e-05,0.000626277679,0.859952204,0.14004776,0,0,0.14004776,0,0.999999744,0,2.56470949e-07,0.14004776,0,0,0,374333.494,0,0,374333.494,0,374333.494,0,0,0,155185328,2672898.79,0.140047796,374333.59
38,0.00780277667,0.0375221006,4,115,0,0.00995,0,0.000770611291,1.25089373e-05,0.000771471296,0.860523167,0.139476804,0,0,0.139476804,0,0.999999795,0,2.05349839e-07,0.139476804,0,0,0,467522.523,0,0,467522.523,0,467522.523,0,0,0,175360412,3351973.07,0.139476833,467522.619
39,0.00798978047,0.0345357693,4,108,0,0.00995,0,0.000711520339,1.2260308e-05,0.000712471771,0.860341571,0.139658398,0,0,0.139658398,0,0.999999777,0,2.22836653e-07,0.139658398,0,0,0,430834.299,0,0,430834.299,0,430834.299,0,0,0,167940574,3084914.99,0.139658429,430834.395
40,0.00914568856,0.0363312332,4,113,0,0.00995,0,0.000747343993,1.24152118e-05,0.00074823131,0.860543406,0.139456564,0,0,0.139456564,0,0.999999788,0,2.12014136e-07,0.139456564,0,0,0,452826.762,0,0,452826.762,0,452826.762,0,0,0,172519855,3247080.81,0.139456594,452826.858
41,0.00916805371,0.0260740266,2,84,0,0.00995,0,0.000542580018,1.15702348e-05,0.000543825717,0.859414193,0.140585764,0,0,0.140585764,0,0.999999696,0,3.04431378e-07,0.140585764,0,0,0,315360.591,0,0,315360.591,0,315360.591,0,0,0,139872469,2243190.13,0.140585807,315360.687
42,0.00925492237,0.040634605,4,122,0,0.00995,0,0.000833633257,1.27627205e-05,0.000834422698,0.860641289,0.139358684,0,0,0.139358684,0,0.99999981,0,1.9046467e-07,0.139358684,0,0,0,504060.274,0,0,504060.274,0,504060.274,0,0,0,182147876,3616999.27,0.139358711,504060.37
43,0.00956078298,0.0616479309,4,158,0,0.00995,0.0628841522,0.00126236346,1.4387509e-05,0.00126288546,0.861661865,0.138338116,0,0,0.138338116,0,0.999999866,0,1.33818791e-07,0.138338116,0,0,0,717430.198,0,0,717430.198,0,717430.198,0,0,0,212766338,5146989.31,0.138338135,717430.294
44,0.00988773758,0.0405792627,4,122,0,0.00995,0,0.00083250086,1.27579288e-05,0.000833290508,0.860638805,0.139361169,0,0,0.139361169,0,0.999999809,0,1.9070436e-07,0.139361169,0,0,0,503426.742,0,0,503426.742,0,503426.742,0,0,0,182034049,3612388.81,0.139361195,503426.838
45,0.01,0.0387520023,2,118,0,0.00995,0,0.000795364517,1.26089025e-05,0.000796181034,0.860539556,0.139460416,0,0,0.139460416,0,0.999999801,0,1.99064535e-07,0.139460416,0,0,0,482284.173,0,0,482284.173,0,482284.173,0,0,0,178146050,3458215.33,0.139460444,482284.269
46,0.01,0.045533304,4,132,0,0.00995,0,0.000932443792,1.31589413e-05,0.000933149002,0.860859462,0.139140514,0,0,0.139140514,0,0.99999983,0,1.70491834e-07,0.139140514,0,0,0,563110.087,0,0,563110.087,0,563110.087,0,0,0,191293204,4010339.94,0.139140538,563110.183
47,0.01,0.0535012812,4,146,0,0.00995,0.00145729813,0.00109469336,1.37757139e-05,0.00109527706,0.861369519,0.13863046,0,0,0.13863046,0,0.999999851,0,1.49326992e-07,0.13863046,0,0,0,642922.335,0,0,642922.335,0,642922.335,0,0,0,203214688,4598596.36,0.138630481,642922.431
48,0.01,0.0570660995,4,152,0,0.00995,0.0141412498,0.0011679665,1.40466571e-05,0.00116852359,0.861469565,0.138530416,0,0,0.138530416,0,0.999999858,0,1.41911922e-07,0.138530416,0,0,0,676515.757,0,0,676515.757,0,676515.757,0,0,0,207664364,4844444.09,0.138530435,676515.853
49,0.01,0.0594822234,4,155,0,0.00995,0.0343897287,0.0012175979,1.42263917e-05,0.00121813271,0.861598331,0.13840165,0,0,0.13840165,0,0.999999862,0,1.37501578e-07,0.13840165,0,0,0,698214.866,0,0,698214.866,0,698214.866,0,0,0,210433854,5005771.19,0.138401669,698214.962
