range_id,e_min_mev,e_max_mev,n_cells,n_energies,cell_ids
127,35.1536872,100,2,91,307|577
128,35.3867043,100,4,91,306|308|576|578
129,36.2002574,100,4,89,305|309|575|579
130,36.7715827,100,4,87,332|342|542|552
131,37.9233545,100,4,85,304|310|574|580
132,40.6940619,100,4,79,303|311|573|581
133,41.7983392,100,2,76,277|607
134,42.0945798,100,4,76,276|278|606|608
135,43.0119355,100,4,74,331|343|541|553
136,43.3149398,100,4,73,275|279|605|609
137,43.6018578,100,4,73,360|374|510|524
138,45.4089412,100,4,69,302|312|572|582
139,45.5387926,100,4,69,274|280|604|610
140,49.2420164,100,4,62,273|281|603|611
141,49.5175113,100,2,62,247|637
142,50.0281834,100,4,61,246|248|636|638
143,51.5330378,100,4,58,245|249|635|639
144,53.5946476,100,4,55,301|313|571|583
145,54.3962532,100,4,53,244|250|634|640
146,55.2782217,100,4,52,272|282|602|612
147,55.866538,100,4,51,330|344|540|554
148,58.3453507,100,2,47,217|667
149,58.8690998,100,4,47,243|251|633|641
150,59.0033253,100,4,46,216|218|666|668
151,60.7415604,100,4,44,215|219|665|669
152,63.9985295,100,4,39,214|220|664|670
153,64.964377,100,4,38,271|283|601|613
154,65.8420628,100,4,37,242|252|632|642
155,68.055921,100,4,34,300|314|570|584
156,68.2018154,100,2,34,187|697
157,68.9709437,100,4,33,186|188|696|698
158,69.1721139,100,4,33,213|221|663|671
159,70.8824484,100,4,30,185|189|695|699
160,74.4741068,100,4,26,184|190|694|700
161,76.2927604,100,4,24,241|253|631|643
162,76.554526,100,4,24,212|222|662|672
163,79.0159304,100,2,21,157|727
164,79.6836942,100,4,20,156|158|726|728
165,79.7598986,100,4,20,183|191|693|701
166,79.914387,100,4,20,270|284|600|614
167,81.744103,100,4,18,155|159|725|729
168,85.4181173,100,4,14,154|160|724|730
169,87.2478849,100,4,12,211|223|661|673
170,87.5568411,100,4,12,182|192|692|702
171,90.5905449,100,2,9,127|757
172,91.0534967,100,4,9,153|161|723|731
173,91.0707497,100,4,9,126|128|756|758
174,91.3338221,100,4,8,240|254|630|644
175,93.2875411,100,4,7,125|129|755|759
176,96.9581383,100,4,3,124|130|754|760
177,98.2545283,100,4,2,181|193|691|703
178,98.6363201,100,4,2,152|162|722|732
