cell_id,lat_deg,lon_w_deg,hemisphere,range_id,dose_at_depth_mgy_per_yr,mean_primary_penetration_cm,mean_secondary_ke_mev,mean_secondary_penetration_cm,deposited_fraction,backscatter_fraction,lateral_escape_fraction,forward_escape_fraction,escaped_electron_fraction,escaped_photon_fraction,nondeposited_escaped_electron_fraction,nondeposited_escaped_photon_fraction,nondeposited_unresolved_fraction,backscatter_electron_fraction,backscatter_photon_fraction,lateral_escape_electron_fraction,lateral_escape_photon_fraction,backscatter_flux_mev_cm2_s,lateral_escape_flux_mev_cm2_s,forward_escape_flux_mev_cm2_s,escaped_electron_flux_mev_cm2_s,escaped_photon_flux_mev_cm2_s,backscatter_electron_flux_mev_cm2_s,backscatter_photon_flux_mev_cm2_s,lateral_escape_electron_flux_mev_cm2_s,lateral_escape_photon_flux_mev_cm2_s,jde_flux_cm2_s,jde_energy_flux_model_mev_cm2_s,deflected_fraction,deflected_flux_mev_cm2_s
323,27,282,trailing,77,2.94201362,0.0345606781,0.000109852685,0.0346152042,0.893929498,0.106070499,0,0,0.106070499,0,0.999999971,0,2.85243792e-08,0.106070499,0,0,0,3658783.67,0,0,3658783.67,0,3658783.67,0,0,0,299998359,34476192.4,0.106070502,3658783.77
324,27,294,trailing,76,2.9404929,0.0335298193,0.000106675559,0.0335832228,0.892934135,0.107065862,0,0,0.107065862,0,0.999999971,0,2.87041742e-08,0.107065862,0,0,0,3635808.56,0,0,3635808.56,0,3635808.56,0,0,0,299914369,33940923.4,0.107065865,3635808.67
325,27,306,trailing,74,2.9348014,0.0307014929,9.77633608e-05,0.0307514693,0.890239409,0.109760587,0,0,0.109760587,0,0.999999971,0,2.93111861e-08,0.109760587,0,0,0,3560428.07,0,0,3560428.07,0,3560428.07,0,0,0,299606107,32420435.5,0.109760591,3560428.17
326,27,318,trailing,73,2.88955527,0.0211526881,6.67232275e-05,0.0211845961,0.881441998,0.118557998,0,0,0.118557998,0,0.999999967,0,3.30501201e-08,0.118557998,0,0,0,3157686.19,0,0,3157686.19,0,3157686.19,0,0,0,297270054,26616412.6,0.118558002,3157686.3
327,27,330,trailing,66,2.58419513,0.00805887266,3.28633909e-05,0.00806605058,0.870315263,0.12968473,0,0,0.12968473,0,0.99999995,0,5.0195281e-08,0.12968473,0,0,0,2079128.17,0,0,2079128.17,0,2079128.17,0,0,0,283683024,16000123.9,0.129684737,2079128.28
328,27,342,trailing,61,1.7584929,0.00311801487,2.00481398e-05,0.00311893478,0.865014029,0.13498596,0,0,0.13498596,0,0.999999918,0,8.18937565e-08,0.13498596,0,0,0,1274370.62,0,0,1274370.62,0,1274370.62,0,0,0,257192053,9408714.65,0.134985971,1274370.73
329,27,354,trailing,43,0.0628841522,0.00126236346,1.4387509e-05,0.00126288546,0.861661865,0.138338116,0,0,0.138338116,0,0.999999866,0,1.33818791e-07,0.138338116,0,0,0,717430.198,0,0,717430.198,0,717430.198,0,0,0,212766338,5146989.31,0.138338135,717430.294
330,21,6,leading,147,2.25462467e-05,38.9612859,0.00580256121,39.0002692,0.663223303,0.00768923104,0.251767452,0,0.0045714449,0.254885238,0.0135741129,0.756837515,0.229588372,0.0045714449,0.00311778614,0,0.251767452,934.66286,30603.5396,0,555.681023,30982.5215,555.681023,378.981838,0,30603.5396,1714.06602,121669.821,0.336776697,40936.8205
331,21,18,leading,135,4.90356745e-05,33.8189732,0.00544061513,33.8557234,0.700758698,0.0101083531,0.220956384,0,0.00698867203,0.224076065,0.0233546371,0.74881396,0.227831403,0.00698867203,0.00311968112,0,0.220956384,2184.57839,47752.2435,0,1510.36491,48426.4569,1510.36491,674.213479,0,47752.2435,3663.3097,216231.19,0.299241302,64670.8789
332,21,30,leading,130,7.66027035e-05,30.6944103,0.00508461966,30.7283886,0.722913061,0.0112576142,0.20341847,0,0.0081575083,0.206518576,0.0294402483,0.7453205,0.225239252,0.0081575083,0.00310010594,0,0.20341847,3270.81994,59101.7932,0,2370.10616,60002.507,2370.10616,900.713784,0,59101.7932,5541.63411,290657.952,0.277086939,80505.6442
333,21,42,leading,125,9.5353005e-05,28.9296344,0.0047465503,28.9613609,0.736432135,0.0121405767,0.192153476,0,0.00904207546,0.195251977,0.0343064412,0.740803427,0.224890132,0.00904207546,0.00309850123,0,0.192153476,4176.73826,66106.8083,0,3110.75688,67172.7896,3110.75688,1065.98138,0,66106.8083,7069.752,344146.325,0.263567865,90675.5925
334,21,54,leading,123,0.000114033914,27.8287933,0.00457383836,27.8593158,0.744356386,0.0122691142,0.185693287,0,0.00924489002,0.188717511,0.0361631957,0.73820546,0.225631344,0.00924489002,0.00302422418,0,0.185693287,4673.3483,70731.2193,0,3521.41078,71883.1569,3521.41078,1151.93752,0,70731.2193,8207.40885,381018.527,0.255643614,97375.5421
335,21,66,leading,122,0.000121187666,27.2344724,0.00444805892,27.2636256,0.748946669,0.012393727,0.182225383,0,0.00940147274,0.185217637,0.0374481099,0.737762117,0.224789773,0.00940147274,0.00299225422,0,0.182225383,4986.99813,73324.0008,0,3782.9724,74528.0265,3782.9724,1204.02573,0,73324.0008,8901.0788,402495.852,0.251053331,101019.048
336,21,78,leading,121,0.000126918915,26.8850572,0.00440069589,26.9135421,0.75203231,0.0123175228,0.179809112,0,0.00936553523,0.182761099,0.0377691756,0.737035938,0.225194886,0.00936553523,0.00295198753,0,0.179809112,5121.99114,74769.9594,0,3894.46721,75997.4833,3894.46721,1227.52393,0,74769.9594,9346.78078,415944.656,0.24796769,103112.317
337,21,90,leading,120,0.000128550179,26.7886537,0.00438639267,26.8170805,0.75273431,0.0124244463,0.179263745,0,0.00949040624,0.182197785,0.0383814117,0.73685025,0.224768339,0.00949040624,0.00293404008,0,0.179263745,5207.98184,75142.369,0,3978.11396,76372.2368,3978.11396,1229.86788,0,75142.369,9459.32827,419287.152,0.24726569,103646.89
338,21,102,leading,121,0.000126918915,26.8850572,0.00440069589,26.9135421,0.75203231,0.0123175228,0.179809112,0,0.00936553523,0.182761099,0.0377691756,0.737035938,0.225194886,0.00936553523,0.00295198753,0,0.179809112,5121.99114,74769.9594,0,3894.46721,75997.4833,3894.46721,1227.52393,0,74769.9594,9346.78078,415944.656,0.24796769,103112.317
